id,name,sponsor,event,venue,place,physical_description,occasion,notes,call_number,date,location,currency,currency_symbol,status,page_count,dish_count,parsed_data,dimensions
12483,,HOTEL MANHATTAN,CARTE DU JOUR,COMMERCIAL,"NEW YORK, NY",CARD; ILLUS; 6X9.5;,,A LA CARTE MENU; HOTEL SEAL AT TOP OF MENU;,1900-2859,1900-04-18T00:00:00Z,Hotel Manhattan,Dollars,$,complete,2,129.0,6X9.5,6X9.5
12484,,BOSTON BOOT & SHOE CLUB,ANNUAL MEETING,COMMERCIAL,"BRUNSWICK HOTEL, BOSTON, MA",FOLDER; ILLUS; COL; 4.5X6.5;,,PROGRAM & COMMITTEE LISTED; DECORATIVE WREATH & EMBLEMS; SILK RIBBON ATTACHMENT;,1900-2861,1900-04-18T00:00:00Z,Boston Boot & Shoe Club,,,complete,6,24.0,4.5X6.5,4.5X6.5
12485,,CANADIAN PACIFIC RAILWAY,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD R.M.S. EMPRESS OF CHINA,CARD; 4.5 X 7;,,ITEMS ON MENU ARE NUMBERED; FLAG LOGO;,1900-2869,1900-04-19T00:00:00Z,Canadian Pacific Railway,,,complete,2,36.0,4.5 X 7,4.5 X 7
12486,,HOTEL SAVOY,DINNER,COMMERCIAL,NEW YORK,CARD; ILLUS; COL; 3.25 X 8.5;,,FRENCH; ILLUSTRATION OF MAN AND WOMAN IN COLONIAL DRESS;,1900-2872,1900-04-19T00:00:00Z,Hotel Savoy,,,complete,2,15.0,3.25 X 8.5,3.25 X 8.5
12487,,PACIFIC MAIL STEAMSHIP CO.,LUNCH,COMMERCIAL,EN ROUTE ABOARD PANAMA LINE STEAMSHIP CITY OF PARA,FOLDER; 6 X 9;,,MENU TYPED IN ENGLISH; ORNAMENTAL BORDER;,1900-2875,1900-04-19T00:00:00Z,Pacific Mail Steamship Co.,,,complete,2,13.0,6 X 9,6 X 9
12488,,CHI PSI FRATERNITY,BANQUET OF THE FIFTY NINTH ANNUAL CONVENTION,SOC;,"HOLLAND HOUSE, NEW YORK CITY",BOOKLET; ILLUS; 5 X 7.25;,ANNIVERSARY,FRENCH; EMBOSSED FRATERNITY LETTERS IN GOLD AND BLUE; GOLD AND BLUE RIBBONS; TOASTS;,1900-2876,1900-04-20T00:00:00Z,Chi Psi Fraternity,,,complete,4,19.0,5 X 7.25,5 X 7.25
12489,,COLBY ALUMNI ASSOCIATION OF NEW YORK,FIFTH ANNUAL REUNION,SOC;,ST. DENIS HOTEL (NEW YORK?),FOLDER; ILLUS; 4 X 5.5;,ANNIVERSARY,PHOOGRAPH OF ALUMNI CHEMICAL LABORATORY ON COVER; LOGO OF ALUMNI ASSOCIATION ON BACK COVER;,1900-2877,1900-04-20T00:00:00Z,Colby Alumni Association Of New York,,,complete,4,21.0,4 X 5.5,4 X 5.5
12490,,IMPERIAL HOTEL,DINNER,COMMERCIAL,"(VIENNA, AUSTRIA ?)",CARD; ILLUS; COL; 4.5 X 8;,,GERMAN; WINES; ILLUSTRATION OF WOMAN'S HEAD; FLORAL BORDER;,1900-2882,1900-04-20T00:00:00Z,Hotel Imperial,,,complete,2,16.0,4.5 X 8,4.5 X 8
12491,,WHITEFRIARS CLUB,SHAKEPEARE COMMEMORATION,SOC;,"ANDERTON'S HOTEL, FLEET STREET, E.C. (ENGLAND?)",CARD; ILLUS; 4.5 X 6.25;,ANNIVERSARY,FRENCH; ILLUSTRATION OF FRIAR WITH MUSES; ORNAMENTAL BORDER;,1900-2889,1900-04-20T00:00:00Z,Whitefriars Club,,,complete,2,13.0,4.5 X 6.25,4.5 X 6.25
12492,,WILSON COLLEGE ALUMNAE ASSOCIATION,DINNER,EDUC;,HOEL FLANDERS,"BOOKLET, ILLUS; COL; 5 X 6.25;",ANNIVERSARY,"PORTRAIT OF HEAD OF COLONIAL WOMAN; SPEECHES; PALE BLUE, WHITE RIBBONS;",1900-2890,1900-04-20T00:00:00Z,Wilson College Alumnae Association,,,complete,10,14.0,5 X 6.25,5 X 6.25
12493,,CANADIAN PACIFIC RAILWAY,LUNCH,COMMERCIAL,EN ROUTE ABOARD R.M.S. EMPRESS OF CHINA,CARD; 4.5 X 7;,,ITEMS ON MENU ARE NUMBERED; FLAG LOGO;,1900-2891,1900-04-20T00:00:00Z,Canadian Pacific Railway,,,complete,2,39.0,4.5 X 7,4.5 X 7
12494,,KNIGHTS OF REVELRY,26TH ANNIVERSARY BANQUET,SOC;,"GERMAN RELIEF HALL, MOBILE AL",BOOKLET; ILLUS; 4.5 X 6.5;,ANNIVERSARY,WINES; OYSTER AND FORK ON COVER; THEATRICAL MAKS ON INSIDE PAGE;,1900-2892,1900-04-21T00:00:00Z,Knights Of Revelry,,,complete,8,22.0,4.5 X 6.5,4.5 X 6.5
12495,,VETERANS AMERICAN GUARD,TWENTY-NINTH ANNUAL DINNER,MIL;,ST. DENNIS HOTEL,BOOKLET; ILLUS; 4 X 5.5;,ANNIVERSARY,EMBOSSED LOGO ON COVER; SPEECHES;,1900-2893,1900-04-20T00:00:00Z,Veterans American Guard,,,complete,8,20.0,4 X 5.5,4 X 5.5
12497,,CUNARD LINE,DINNER,COMMERCIAL,EN ROUTE ABOARD R.M.S. LUCANIA,CARD; 4.25 X 6.5;,,CUNARD LINE LOGO; PRICED WINE LIST ON BACK WITH PRICES IN BRITISH CURRENCY;,1900-2902,1900-04-21T00:00:00Z,Canadian Pacific Railway Company,,,complete,2,38.0,4.25 X 6.5,4.25 X 6.5
12498,,CAFE BOULEVARD,SUNDAY DINNER,COMMERCIAL,156 SECOND AVENUE (NY?),CARD; ILLUS; COL; 5 X 7;,,PRIX FIXE DINNER; FOOD APPEARS TO BE HUNGARIAN;PALE BLUE; ORNAMENTAL BORDER;,1900-2903,1900-04-22T00:00:00Z,Cafe Boulevard,Cents,C,complete,2,17.0,5 X 7,5 X 7
12499,,PACIFIC MAIL STEAMSHIP CO.,LUNCH,COMMERCIAL,EN ROUTE ABOARD PANAMA LINE STEAMSHIP CITY OF PARA,BROADSIDE; 6 X 9;,,ORNAMENTAL BORDER;,1900-2909,1900-04-22T00:00:00Z,Pacific Mail Steamship Co.,,,complete,2,14.0,6 X 9,6 X 9
12500,,MORNING NEWSPAPER BOWLING LEAGUE,SECOND ANNUAL DINNER,SOC;,MOUQUIN'S,CARD;COL;4X6.5;,ANNIVERSARY,,1900-2911,1900-04-22T00:00:00Z,Morning Newspaper Bowling League,,,complete,2,23.0,4X6.5,4X6.5
12501,,CUNARD LINE,BREAKFAST,COMMERCIAL,"R.M.S. ""LUCANIA""",CARD;ILL;COL;4.25X6.5;,DAILY,WINE LIST ON BACK;FLAG;,1900-2917,1900-04-23T00:00:00Z,Cunard Line,,,complete,2,97.0,4.25X6.5,4.25X6.5
12502,,CUNARD LINE,LUNCHEON,COMMERCIAL,"R.M.S. ""LUCANIA""",CARD;ILL;COL;4.25X6.5;,DAILY,WINE LIST ON BACK;FLAG;,1900-2918,1900-04-23T00:00:00Z,Cunard Line,,,complete,2,90.0,4.25X6.5,4.25X6.5
12503,,POLICE DEPARTMENT OF THE CITY OF NEW YORK,SEVENTH ANNUAL DINNER,GOVT;,DELMONICO'S,FOL; 4.75 X 7.25;,,"SEAL ON COVER; FRENCH; INCLUDES WINES SERVED WITH EACH COURSE; LIST OF NAMES OF SUPERINTENDENT, INSPECTORS AND PRECINCT CAPTAINS",1888-0010,1888-01-23T00:00:00Z,Police Department Of The City Of New York,,,complete,3,30.0,4.75 X 7.25,4.75 X 7.25
12504,,U.S.M.S. NEW YORK,LUNCHEON,COMMERCIAL,EN ROUTE,CARD; 4 X 6.25;,,FLAG; PRICED WINE LIST AND EXCHANGE RATES ON BACK;,1900-1131,1900-02-18T00:00:00Z,U.S.M.S. New York,Dollars,$,complete,2,99.0,4 X 6.25,4 X 6.25
12505,,BARTHOLDI HOTEL,BREAKFAST,COMMERCIAL,NY,BROADSIDE; COL; 7 X 11.75;,DAILY,VERY POOR CONDITION;,1900-1137,1900-02-18T00:00:00Z,Bartholdi Hotel,Dollars,$,complete,2,203.0,7 X 11.75,7 X 11.75
12506,,BARTHOLDI HOTEL,LUNCH & DINNER,COMMERCIAL,23RD ST & BWAY NY,FOLDER; ILLUS;8.25 X 14;,DAILY,MANY ITEMS HANDWRITTEN; HOURS INCLUDED;,1900-1138,1900-02-18T00:00:00Z,Bartholdi Hotel,Dollars,$,complete,4,336.0,8.25 X 14,8.25 X 14
12507,,HAAN'S,SUPPER,COMMERCIAL,75 ST. & COLUMBUS AVE. NY,BROADSHEET; COL; 7 X 11;,DAILY,COMPLETE WINE LIST ON BACK;,1900-1140,1900-02-19T00:00:00Z,Haan's,Dollars,$,complete,2,392.0,7 X 11,7 X 11
12508,,HOTEL MARIE ANTOINETTE,LUNCHEON,COMMERCIAL,66 ST. & B'WAY NY,BROADSIDE; HOTEL EMBLEM; 4.5 X 7.5;,DAILY,,1900-1141,1900-02-19T00:00:00Z,Hotel Marie Antoinette,Dollars,$,complete,2,82.0,4.5 X 7.5,4.5 X 7.5
12509,,RED STAR LINE - S.S. SOUTHWARK,DINNER,COMMERCIAL,EN ROUTE,BROADSHEET; ILLUS; COL; 5 X 8;,DAILY,MENU HANDWRITTEN;WINE LIST ON BACK;,1900-1169,1900-02-20T00:00:00Z,Red Star Line S.S.Southwark,Francs,FF,complete,2,56.0,5 X 8,5 X 8
12510,,HOTEL MARIE ANTOINETTE,DINNER,COMMERCIAL,66 ST. & B'WAY NY,BROADSIDE; HOTEL EMBLEM; COL; 6.5 X 9;,DAILY,,1900-1173,1900-02-20T00:00:00Z,Hotel Marie Antoinette,Dollars,$,complete,2,128.0,6.5 X 9,6.5 X 9
12511,,THIRD PANEL SHERIFF'S JURY NEW YORK COUNTY,ANNUAL DINNER,POL;,"HOTEL SAVOY,NEW YORK,NY",BOOKLET;ILL;COL;4.25X6.25;,ANNIVERSARY,WINES SERVED;INDIVIDUAL'S NAME ON FRONT COVER;FOUR STANZAS OF THE STAR SPANGLED BANNER WRITTEN OUT;NAMES;SEATING PLAN ATTACHED;,1900-1174,1900-02-20T00:00:00Z,Third Panel Sheriff's Jury New York County,,,complete,12,35.0,4.25X6.25,4.25X6.25
12515,,THE ALBANY,LUNCH,?,"DENVER, COLO.",CARD;3.5 X 5;,,,1888-0611,1888-10-15T00:00:00Z,The Albany,,,complete,2,30.0,3.5 X 5,3.5 X 5
12516,,REVERE HOUSE,COMPLIMENTARY BANQUET GIVEN BY THE CITY GOVERNMENT OF BOSTON TO THE BOARDS OF TRADE OF THE WESTERN CITIES,RESTAURANT,"BOSTON, MA",BROADSIDE; ILLUS; 4.25 X 11.75,,MENU PRINTED IN BLACK ON CREAM SILK RIBBON WITH OVERSEWN SIDES; UNPRICED; ILLUSTRATION OF CITY AND COMMERCE SCENES; OUT OF PLACE MENU,1865-0001,1865-09-28T00:00:00Z,Parker House,Dollars,$,complete,4,422.0,4.25 X 11.75,4.25 X 11.75
12517,,NATIONAL VERBANDES DEUTSCH AMERIKANISCHER JOURNALISTEN UND SCHRIFTSTELLER (UNUSUAL),FEST-BANKETT,RESTAURANT,DER LIEDERKRANZ HALLE,BOOKLET; ILLUS; COL; 6 X 7.5,,MENU IS IN GERMAN; FOOD SELECTIONS REPRESENT VARIOUS REGIONS OF JOURNALISM IN EUROPE AND AMERICA; WINES ARE IN RED IN THE MARGIN NEXT TO APPROPRIATE COURSE; SCHEDULE OF MUSIC AND SPEAKERS IS LISTED; COVER HAS LIGHT BROWN SKETCH OF A JOURNALIST'S DESK WITH,1892-0112,1892-05-19T00:00:00Z,National Verbandes Deutsch Amerikanischer Journalisten Und Schriftsteller (unusual),,,complete,2,21.0,6 X 7.5,6 X 7.5
12518,,COLUMBIA RESTAURANT,DAILY MENU,COMMERCIAL,"48 EAST 14TH STREET,[NEW YORK,NY?]",FOLDER;ILLUS;7.25X11.5;,DAILY,2 COPIES;WINE LIST;,1901-1527,1901-06-03T00:00:00Z,Columbia Restaurant,Dollars,$,complete,4,475.0,7.25X11.5,7.25X11.5
12519,,MRS CLUFF,LUNCH,OTHER (PRIVATE PARTY);,"RED ROOM,BOHEMIAN CLUB",FOLDER;ILLUS;COL;3.5X7.25;,,MOTHER HOLDING CHILD ON LAP TEASING WITH RATTLE;WINES;,1901-1533,1901-06-04T00:00:00Z,Mrs Cluff,,,complete,4,15.0,3.5X7.25,3.5X7.25
12520,,BAILY CATERING CO.THE,LUNCHEON,COMMERCIAL,"MIRROR LAKE PERGOLA,PAN-AMERICAN EXPOSITION",BOOKLET;ILLUS;COL;4.25X3.5;,OTHER (COMPLIMENTARY),DELICATELY CUT OUT FLOWERS ON SHORTENED FRONT COVER; RIBBON AT LEFT;,1901-1534,1901-06-05T00:00:00Z,Baily Catering Co.The,,,complete,7,18.0,4.25X3.5,4.25X3.5
12522,,NORTHERN STEAMSHIP CO.,BREAKFAST,COMMERCIAL,GREAT NORTHERN RY. LINE,BOOKLET;ILLUS;COL;3X3.75;,DAILY,INDIVIDUAL CLUB BREAKFAST;HANDWRITTEN DATE 1901;PRICES SEEM HIGH FOR THIS DATE;,1901-1536,1901-01-01T00:00:00Z,Northern Steamship Co.,,,complete,4,12.0,3X3.75,3X3.75
12523,,CITIZENS'STEAMBOAT COMPANY,LUNCH,COMMERCIAL,"STEAMER SARATOGA,TROY LINE",BOOKLET;ILLUS;COL;6.25X9;,DAILY,AU SABLE CHASM ON FRONT COVER;BLUE MOUNTAIN LAKE ON BACK COVER;PRICED WINE LIST;,1901-1537,1901-01-01T00:00:00Z,Citizens'steamboat Company,Dollars,$,complete,8,246.0,6.25X9,6.25X9
12524,,NATIONAL ASSOCIATION OF MANUFACTURERS OF THE UNITED STATES OF AMERICA,DINNER,COMMERCIAL,"COUNTRY CLUB,GROSSE POINTE,MI",FOLDER;ILLUS;COL;4X7.5;,,WINES;BUILDING ILLUSTRATED;,1901-1538,1901-06-05T00:00:00Z,National Association Of Manufacturers Of The United States Of America,,,complete,4,18.0,4X7.5,4X7.5
12525,,HAMBURG-AMERIKA LINIE,DINNER,COMMERCIAL,"SCHNELLDAMPFER ""COLUMBIA""",FOLDER; ILLUS; COL; 4.5X7;,OTHER (DAILY),GERMAN & ENGLISH; SKETCH OF STEAMSHIP & ROWBOAT ON COVER; MUSICAL PROGRAM ON BACK COVER;,1900-2136,1900-02-25T00:00:00Z,Hamburg Amerika Linie,,,complete,4,28.0,4.5X7,4.5X7
12526,,UNION HOTEL & RESTAURANT,DINNER,COMMERCIAL,,BROADSIDE; ILLUS; 5.5X10;,OTHER (DAILY),"A LA CARTE, PRICED MENU; EAGLE & FLAG AT TOP OF MENU;",1900-2139,1900-02-26T00:00:00Z,Union Hotel & Restaurant,Dollars,$,complete,2,71.0,5.5X10,5.5X10
12527,,CUNARD LINE,DINNER,COMMERCIAL,RMS CAMPANIA,CARD; ILLUS; COL; 4.5X6.5;,OTHER (DAILY),"PRICED WINE, TOBACCO LIST ON BACK; CUNARD STEAMSHIP CO. FLAG AT TOP;",1900-2140,1900-02-26T00:00:00Z,Cunard Line,,,complete,2,93.0,4.5X6.5,4.5X6.5
12528,,CUNARD LINE,LUNCHEON,COMMERCIAL,RMS CAMPANIA,CARD; ILLUS; COL; 4.5X6.5;,OTHER (DAILY),"PRICED WINE, TOBACCO LIST ON BACK; CUNARD STEAMSHIP CO. FLAG AT TOP;",1900-2142,1900-02-26T00:00:00Z,Cunard Line,Dollars,$,complete,2,87.0,4.5X6.5,4.5X6.5
12529,,NEW YORK MEDICAL CLUB,DINNER,PROF;,"MANHATTAN HOTEL, NEW YORK, NY","FOLDER, ILLUS, COL, 3X4.5",,LISTS WINES SERVED WITH INDIVIDUAL COURSES; DECORATIVE WREATH ON COVER;,1900-2144,1900-02-26T00:00:00Z,New York Medical Club,,,complete,4,17.0,"FOLDER, ILLUS, COL, 3X4.5","FOLDER, ILLUS, COL, 3X4.5"
12530,,RED STAR LINE,BREAKFAST,COMMERCIAL,SS WESTERNLAND,CARD; ILLUS; COL; 5X8;,OTHER (DAILY),VIOLET SCRIPT PRINTED MENU; MARITIME SCENE ON MENU;,1900-2148,1900-02-26T00:00:00Z,Red Star Line,,,complete,2,16.0,5X8,5X8
12531,,RED STAR LINE,BREAKFAST,COMMERCIAL,"S.S. ""SOUTHWARK""",CARD; ILLUS; COL; 5X8;,OTHER (DAILY),FRENCH & ENGLISH; VIOLET SCRIPT PRINTING; MARITIME SCENE AT TOP OF MENU;,1900-2150,1900-02-26T00:00:00Z,Red Star Line,,,complete,2,18.0,5X8,5X8
12532,,RED STAR LINE,LUNCH,COMMERCIAL,"S.S. ""SOUTHWARK""",CARD; ILLUS; COL; 5X8;,OTHER (DAILY),VIOLET SCRIPT PRINTING; DECORATIVE WREATH;,1900-2151,1900-02-26T00:00:00Z,Red Star Line,,,complete,2,18.0,5X8,5X8
12533,,RED STAR LINE,DINNER,COMMERCIAL,"S.S. ""SOUTHWARK""",CARD; ILLUS; COL; 5X8;,OTHER (DAILY),"VIOLET SCRIPT PRINTING; MARITIME SCENE AT TOP; PRICED WINE, TOBACCO LIST ON BACK OF MENU;",1900-2152,1900-02-26T00:00:00Z,Red Star Line,Belgian Francs,BEF,complete,2,55.0,5X8,5X8
12534,,PABST BLUE RIBBON,DINNER,COMMERCIAL,PABST BLUE RIBBON,CARD; ILLUS; COL; 5.25X7.75;,,LOGO OF PABST BLUE RIBBON;,1900-2381,1900-03-11T00:00:00Z,Pabst Blue Ribbon,Dollars,$,complete,2,52.0,5.25X7.75,5.25X7.75
12535,,MAXWELL HOUSE,DINNER,COMMERCIAL,"MAXWELL HOUSE, NASHVILLE, [TN];",BROADSIDE; ILLUS; 5.75X7.5;,,"ILLUS, PICTURE OF HOTEL;",1900-2386,1900-03-11T00:00:00Z,Maxwell House,,,complete,2,30.0,5.75X7.5,5.75X7.5
12536,,MAXWELL HOUSE,LUNCHEON,COMMERCIAL,"MAXWELL HOUSE, NASHVILLE, [TN];",BROADSIDE; 4.25X6.0;,,,1900-2388,1900-03-11T00:00:00Z,Maxwell House,,,complete,2,23.0,4.25X6.0,4.25X6.0
12537,,CUNARD LINE,BREAKFAST,COMMERCIAL,"R.M.S. ""ETRURIA""",CARD; ILLUS; COL; 4.5X6.5;,,RED FLAG WITH LION HOLDING GLOBE OF WORLD; PRICED WINE LIST;,1900-2389,1900-03-11T00:00:00Z,Cunard Line,,,complete,2,90.0,4.5X6.5,4.5X6.5
12538,,HADDON HALL,DINNER,COMMERCIAL,"ATLANTIC CITY, NJ",CARD; 5 X 8;,,LOGO; NOTE ABOUT PURITY OF WATER;,1900-2598,1900-03-27T00:00:00Z,Haddon Hall,,,complete,2,53.0,5 X 8,5 X 8
12539,,GOULD'S HOTEL CAFE,DAILY MENU,COMMERCIAL,"BOSTON, MA",FOLDER; 8.5 X 12;,,PRICED MENU; PRICED WINE LIST; EXTENSIVE OYSTER AND CLAM MENU;,1900-2611,1900-03-29T00:00:00Z,Gould's Hotel Cafe,Dollars,$,complete,4,539.0,8.5 X 12,8.5 X 12
12545,,GERMAN RESTAURANT & BUFFET,DAILY MENU - 11;30 TO 3;00,COMMERCIAL,"137 E. MADISON ST. CHICAGO, ILL.",FOLDER; ILL; COL; 4.5 X 10.75;,,LIST OF VAUDEVILLE ENTERTAINERS FOR THE WEEK;,1900-2618,1900-03-30T00:00:00Z,German Restaurant & Buffet,Dollars,$,complete,4,113.0,4.5 X 10.75,4.5 X 10.75
12546,,MR. JOHN MORGAN,DINNER TO THE BOARD OF OFFICERS OF THE CATHOLIC CLUB OF THE CITY OF NEW YORK,RELIG;,"CATHOLIC CLUB, BANQUET HALL,NY",FOLDER;COL;7.5X7.5;,COMPLIMENTARY/TESTIMONIAL,WINES;RIBBON AT LEFT;,1901-1547,1901-06-06T00:00:00Z,Mr. John Morgan,,,complete,4,19.0,7.5X7.5,7.5X7.5
